jenis_kelamin,berat_kg,tinggi_cm,lingkar_perut_cm,frekuensi_makan,sarapan,konsumsi_sayur_buah,konsumsi_daging,konsumsi_susu,fast_food,minuman_bersoda,nafsu_makan_rumah,nafsu_makan_sekolah,air_minum,lama_tidur,olahraga,aktivitas_fisik,BMI,status_gizi
1,62.7,173.0,70.0,2,1,2,1,1,1,1,0,0,1,1,1,0,20.94958067426242,Normal
0,51.0,160.0,84.0,2,1,1,2,2,1,1,0,1,1,1,0,1,19.921874999999996,Normal
0,41.2,155.0,55.0,3,1,1,1,1,2,1,0,1,1,0,1,2,17.148803329864723,Kurus
1,58.2,167.8,70.0,3,1,1,1,1,2,1,0,0,1,1,1,1,20.669933131700855,Normal
1,68.1,175.0,75.0,3,1,1,2,1,1,1,0,1,2,1,2,1,22.236734693877548,Normal
1,66.4,167.8,75.0,3,1,1,1,1,1,1,0,0,1,1,1,1,23.582191751631218,Normal
0,40.5,162.0,70.0,3,1,2,1,1,0,0,0,0,1,1,1,1,15.432098765432096,Kurus
1,51.0,163.0,70.0,3,1,1,1,1,2,2,0,1,1,1,1,0,19.195302796492154,Normal
0,42.5,160.0,70.0,2,1,1,1,2,1,1,1,1,1,0,0,2,16.601562499999996,Kurus
1,65.7,167.0,84.0,2,1,1,1,1,1,1,0,0,1,1,1,0,23.55767506902363,Normal
1,44.0,158.0,67.0,3,1,1,1,2,1,2,0,0,1,1,2,2,17.625380547989103,Kurus
0,39.8,142.0,57.0,2,1,1,1,1,2,1,0,0,2,1,1,1,19.73814719301726,Normal
1,46.9,169.0,69.0,4,1,1,1,2,1,1,0,0,2,1,1,2,16.420993662686882,Kurus
0,52.2,155.0,66.0,3,1,1,1,2,2,1,1,1,1,1,1,1,21.727367325702392,Normal
1,38.9,126.0,68.0,3,1,1,1,1,1,1,0,0,0,1,1,0,24.502393550012595,Normal
1,62.7,183.0,66.0,3,1,1,1,1,1,1,0,0,1,1,1,2,18.722565618561315,Normal
1,55.5,168.0,70.0,4,1,1,2,1,1,1,0,1,1,0,1,2,19.664115646258505,Normal
1,59.2,168.3,75.0,2,1,1,2,1,2,2,0,0,2,1,1,2,20.90034595015197,Normal
1,42.7,161.0,63.0,3,1,1,1,1,1,1,0,1,1,1,0,0,16.47312989467999,Kurus
0,38.0,153.0,60.0,3,1,2,1,2,1,1,0,0,1,1,1,2,16.23307274979709,Kurus
1,72.0,179.0,83.0,3,1,2,1,1,1,0,0,0,2,1,1,2,22.47120876377142,Normal
1,63.6,177.5,74.0,3,1,1,1,1,1,1,0,0,2,1,1,1,20.186470938305895,Normal
0,44.0,157.0,78.0,2,1,1,1,2,1,0,0,1,1,0,0,1,17.85062274331616,Kurus
0,59.0,156.0,74.0,2,1,2,2,2,1,1,0,0,0,0,1,2,24.243918474687703,Normal
0,52.7,156.0,81.0,3,1,1,1,1,1,1,0,1,1,1,1,0,21.655161078238002,Normal
1,49.9,171.0,66.0,2,1,1,1,1,1,2,0,0,1,0,1,1,17.065079853630177,Kurus
0,42.0,159.0,75.0,2,1,2,1,1,1,0,0,1,2,1,1,2,16.61326688026581,Kurus
